(species=Paecilomyces niveus)(type=Full)(curator=GO)
g1180 = 5524
g1180 = 16021
g1180 = 42626
g1180 = 55085
g1180 = 5524
g1180 = 5524
g1180 = 16021
g5678 = 5975
g5678 = 16773
g5678 = 5975
g5678 = 16773
g5678 = 4370
g5678 = 6072
g9684 = 3735
g9684 = 5840
g9684 = 6412
g9684 = 3735
g9684 = 5840
g9684 = 6412
g9684 = 3735
g9684 = 5840
g9684 = 6412
g9154 = 398
g9154 = 46540
g7396 = 3824
g436.1 = 8080
g436.1 = 8080
g1377 = 5515
g2146 = 5515
g2146 = 5515
g8614 = 18738
g8614 = 46294
g8614 = 18738
g8614 = 46294
g9064 = 5524
g9064 = 70615
g10005 = 16020
g10005 = 22857
g10005 = 55085
g138 = 5524
g138 = 5524
g138 = 16021
g138 = 42626
g138 = 55085
g138 = 5524
g138 = 16021
g138 = 5524
g138 = 5524
g138 = 16021
g138 = 42626
g138 = 55085
g138 = 5524
g138 = 16021
g138 = 42626
g138 = 55085
g138 = 5524
g138 = 5524
g138 = 5524
g138 = 16021
g138 = 5524
g138 = 16021
g138 = 42626
g138 = 55085
g6711 = 5515
g6711 = 51260
g6711 = 5515
g1772 = 16020
g1772 = 22857
g1772 = 55085
g1772 = 16020
g1772 = 22857
g1772 = 55085
g1772 = 16020
g1772 = 22857
g1772 = 55085
g1772 = 16020
g1772 = 22857
g1772 = 55085
g1772 = 16020
g1772 = 22857
g1772 = 55085
g1772 = 22857
g1772 = 16020
g1772 = 22857
g1772 = 55085
g1772 = 16021
g1772 = 22857
g1772 = 55085
g10257.1 = 786
g10257.1 = 3677
g10257.1 = 6334
g10257.1 = 786
g10257.1 = 3677
g10257.1 = 6334
g10257.1 = 786
g10257.1 = 3677
g10257.1 = 6334
g10257.1 = 786
g10257.1 = 3677
g10257.1 = 6334
g10257.1 = 786
g10257.1 = 3677
g10257.1 = 6334
g10257.1 = 786
g10257.1 = 3677
g10257.1 = 6334
g10257.1 = 786
g10257.1 = 3677
g10257.1 = 6334
g10257.1 = 786
g10257.1 = 3677
g10257.1 = 6334
g595 = 3735
g595 = 5840
g595 = 6412
g595 = 3735
g595 = 5840
g595 = 6412
g9328 = 3824
g9328 = 5975
g9328 = 5975
g9328 = 3824
g9328 = 5975
g9328 = 3824
g9328 = 5975
g9328 = 30246
g8456 = 7186
g8456 = 7186
g8456 = 750
g8456 = 7186
g8456 = 31681
g8456 = 7186
g10346 = 7165
g10346 = 7165
g10346 = 7165
g10346 = 7165
g512 = 16020
g512 = 22857
g512 = 55085
g512 = 16021
g512 = 22857
g512 = 55085
g512 = 22857
g7207 = 16491
g7207 = 16491
g7207 = 16491
g7207 = 16491
g7207 = 16491
g7207 = 47834
g3258 = 46872
g3258 = 46872
g3258 = 46872
g3258 = 46872
g3699 = 5524
g3699 = 5975
g3699 = 16773
g3699 = 5524
g3699 = 5975
g3699 = 16773
g3699 = 1678
g3699 = 4396
g3699 = 5524
g3699 = 5536
g3699 = 5975
g3699 = 1678
g3699 = 4396
g3699 = 5524
g3699 = 5536
g3699 = 5975
g8691 = 5515
g8691 = 6749
g8691 = 5515
g8691 = 6749
g9169 = 3677
g9169 = 6351
g9169 = 8270
g9169 = 981
g9169 = 6355
g9169 = 8270
g9169 = 981
g9169 = 6355
g9169 = 8270
g9169 = 981
g9169 = 6355
g9169 = 8270
g9169 = 981
g9169 = 6355
g9169 = 8270
g9931 = 4061
g9931 = 19441
g9931 = 4061
g9931 = 19441
g6244 = 46872
g6244 = 5524
g6244 = 70615
g4953 = 16491
g4953 = 16491
g4953 = 16491
g4953 = 16491
g4953 = 16491
g4953 = 16491
g4953 = 16491
g4953 = 16491
g4953 = 16491
g4953 = 16491
g6817 = 4735
g6817 = 6561
g9930 = 16491
g3724 = 46872
g3724 = 4386
g3724 = 46872
g3610 = 7064
g3610 = 7064
g5698.1 = 5515
g5698.1 = 6749
g5698.1 = 5515
g5698.1 = 6749
g6718 = 33609
g1582 = 5506
g1582 = 16705
g1582 = 20037
g1582 = 5506
g1582 = 16705
g1582 = 20037
g1582 = 5506
g1582 = 16705
g1582 = 20037
g1582 = 5506
g1582 = 16705
g1582 = 20037
g1582 = 5506
g1582 = 16705
g1582 = 20037
g1582 = 5506
g1582 = 16705
g1582 = 20037
g1582 = 5506
g1582 = 16705
g1582 = 20037
g1582 = 5506
g1582 = 16705
g1582 = 20037
g1582 = 5506
g1582 = 16705
g1582 = 20037
g1582 = 5506
g1582 = 16705
g1582 = 20037
g1582 = 5506
g1582 = 16705
g1582 = 20037
g1582 = 5506
g1582 = 16705
g1582 = 20037
g7318 = 5886
g9522 = 5975
g9522 = 16810
g9522 = 3824
g9522 = 5975
g9522 = 5975
g9522 = 16810
g9522 = 16491
g9522 = 16491
g9522 = 16491
g9522 = 16491
g9238 = 5515
g9238 = 5515
g9238 = 5515
g9238 = 5515
g9238 = 5515
g9238 = 5515
g9238 = 5515
g9238 = 5515
g9238 = 5515
g9238 = 5515
g9238 = 5515
g6225 = 5515
g6225 = 5515
g6225 = 5515
g6225 = 5515
g2034 = 16020
g2034 = 22857
g2034 = 55085
g2034 = 16020
g2034 = 22857
g2034 = 55085
g2034 = 16020
g2034 = 22857
g2034 = 55085
g2034 = 16020
g2034 = 22857
g2034 = 55085
g2034 = 16020
g2034 = 22857
g2034 = 55085
g2034 = 16021
g2034 = 22857
g2034 = 55085
g2034 = 22857
g148 = 5506
g148 = 16712
g148 = 20037
g148 = 5506
g148 = 16712
g148 = 20037
g148 = 5506
g148 = 16712
g148 = 20037
g148 = 5506
g148 = 16712
g148 = 20037
g148 = 5506
g148 = 16705
g148 = 20037
g148 = 5506
g148 = 16705
g148 = 20037
g148 = 5506
g148 = 16705
g148 = 20037
g148 = 5506
g148 = 16705
g148 = 20037
g148 = 5506
g148 = 16705
g148 = 20037
g148 = 5506
g148 = 16705
g148 = 20037
g5939 = 6914
g5939 = 6914
g3708 = 22857
g3708 = 55085
g4383 = 18024
g4383 = 31151
g4383 = 34729
g4383 = 51726
g4383 = 18024
g8899 = 4553
g8899 = 5975
g8899 = 4553
g8899 = 5975
g8899 = 4553
g8899 = 5975
g8899 = 4553
g8899 = 5975
g8899 = 4553
g8899 = 5975
g8899 = 4553
g8899 = 5975
g8899 = 4553
g8899 = 5975
g8899 = 4553
g8899 = 5975
g8651 = 50660
g8651 = 71949
g8651 = 16899
g8651 = 16491
g8651 = 50660
g8651 = 3885
g8651 = 16020
g1939 = 36402
g1939 = 5524
g1939 = 16887
g1939 = 5737
g1939 = 30163
g1939 = 36402
g9074 = 16491
g9074 = 50660
g9074 = 50660
g9074 = 71949
g9074 = 16491
g9074 = 50660
g474 = 47834
g5917 = 8654
g5917 = 16020
g5917 = 16780
g2089 = 3824
g9248 = 5515
g9248 = 5515
g9248 = 5515
g9248 = 5515
g9248 = 5515
g9248 = 5515
g496 = 46872
g496 = 46872
g798 = 5634
g798 = 6355
g798 = 8270
g4557 = 981
g4557 = 6355
g4557 = 8270
g4557 = 981
g4557 = 6355
g4557 = 8270
g4557 = 981
g4557 = 6355
g4557 = 8270
g4557 = 981
g4557 = 6355
g4557 = 8270
g4279 = 5515
g4279 = 5515
g4279 = 5515
g4279 = 5680
g4279 = 30071
g4279 = 5515
g4279 = 5515
g4279 = 5515
g4279 = 5515
g4279 = 5515
g4279 = 5515
g4279 = 5515
g4279 = 5515
g4279 = 5515
g4279 = 5515
g4279 = 5515
g4279 = 5515
g4279 = 5515
g4279 = 5515
g4279 = 5515
g4279 = 5515
g7186 = 4764
g7186 = 3855
g20 = 43531
g10003 = 22857
g10003 = 55085
g10003 = 22857
g71 = 4198
g71 = 6508
g71 = 4198
g71 = 6508
g71 = 4198
g71 = 6508
g71 = 4198
g71 = 6508
g71 = 4198
g71 = 6508
g71 = 4198
g71 = 6508
g71 = 4198
g71 = 6508
g9950 = 5515
g9950 = 8237
g9950 = 70122
g9950 = 5515
g9950 = 8237
g9950 = 70122
g5185 = 775
g5185 = 775
g5185 = 5634
g5185 = 45132
g1699 = 3824
g5417 = 5515
g5417 = 5515
g5417 = 5515
g5417 = 5515
g3762 = 22857
g3762 = 55085
g3762 = 22857
g6497 = 9058
g6497 = 30170
g6171 = 5509
g6171 = 5509
g6171 = 5509
g6171 = 5509
g6171 = 5509
g6171 = 5509
g6171 = 5509
g6171 = 5509
g6171 = 5509
g1910 = 3824
g1910 = 9058
g1910 = 3824
g1910 = 9058
g1910 = 3824
g1910 = 9058
g10368 = 4672
g10368 = 5524
g10368 = 6468
g10368 = 4672
g10368 = 5524
g10368 = 6468
g10368 = 4672
g10368 = 5524
g10368 = 6468
g2698 = 8233
g2698 = 8233
g2698 = 8233
g2698 = 8233
g2733 = 3824
g6925 = 16021
g6925 = 16021
g1435 = 22857
g1435 = 55085
g1435 = 22857
g1435 = 55085
g2757 = 5524
g2757 = 7018
g2757 = 8017
g2757 = 1990939
g2757 = 5524
g2757 = 7018
g2757 = 8017
g2757 = 1990939
g2757 = 5524
g2757 = 7018
g2757 = 8017
g2757 = 1990939
g2757 = 5524
g2757 = 7018
g2757 = 8017
g2757 = 1990939
g2757 = 5524
g2757 = 7018
g2757 = 8017
g2757 = 1990939
g2757 = 5524
g2757 = 7018
g2757 = 8017
g2757 = 1990939
g2757 = 7018
g2757 = 1990939
g94 = 4672
g94 = 5524
g94 = 6468
g94 = 7094
g94 = 4672
g94 = 5524
g94 = 6468
g5051 = 22857
g5051 = 55085
g5051 = 22857
g10070 = 3735
g10070 = 5840
g10070 = 6412
g10070 = 3735
g10070 = 5840
g10070 = 6412
g9283 = 50661
g9283 = 51287
g9982 = 5524
g9982 = 16887
g9982 = 36402
g9982 = 5737
g9982 = 30163
g9982 = 36402
g582 = 5524
g582 = 16021
g582 = 16887
g582 = 5524
g582 = 16021
g582 = 16887
g582 = 5524
g582 = 16021
g582 = 16887
g582 = 166
g582 = 5524
g582 = 16021
g582 = 16887
g582 = 5524
g582 = 16021
g582 = 16887
g582 = 6812
g582 = 16021
g582 = 19829
g582 = 6812
g582 = 16021
g582 = 19829
g8772 = 8168
g8772 = 32259
g1748 = 3924
g1748 = 5525
g1748 = 5525
g2477 = 3677
g2477 = 6260
g2477 = 5524
g2477 = 16887
g3681 = 3677
g3681 = 6351
g3681 = 8270
g3681 = 981
g3681 = 6355
g3681 = 8270
g3681 = 981
g3681 = 6355
g3681 = 8270
g3681 = 3677
g3681 = 6351
g3681 = 8270
g3681 = 981
g3681 = 6355
g3681 = 8270
g3681 = 981
g3681 = 6355
g3681 = 8270
g6664 = 5669
g6664 = 6367
g6664 = 5669
g6664 = 6367
g6664 = 5669
g5416 = 79
g5416 = 19901
g8954 = 5515
g8954 = 6886
g8954 = 5515
g8954 = 5515
g8954 = 6886
g8954 = 5515
g8954 = 5515
g8954 = 5515
g8954 = 5515
g8954 = 5515
g8954 = 6886
g8954 = 6886
g8152 = 981
g8152 = 6355
g8152 = 8270
g8152 = 981
g8152 = 6355
g8152 = 8270
g8152 = 981
g8152 = 6355
g8152 = 8270
g8152 = 981
g8152 = 6355
g8152 = 8270
g4124 = 5515
g4124 = 5515
g4124 = 5515
g4124 = 5515
g4124 = 5515
g4124 = 5515
g4124 = 5515
g4124 = 5515
g4124 = 5515
g4124 = 5515
g4124 = 5515
g4124 = 5515
g4124 = 5515
g4124 = 5515
g1366 = 3690
g1366 = 3697
g1366 = 6270
g1366 = 5634
g1366 = 6260
g7202 = 5506
g7202 = 16705
g7202 = 20037
g7202 = 5506
g7202 = 16705
g7202 = 20037
g7202 = 5506
g7202 = 16705
g7202 = 20037
g7202 = 5506
g7202 = 16705
g7202 = 20037
g7202 = 5506
g7202 = 16705
g7202 = 20037
g7202 = 5506
g7202 = 16705
g7202 = 20037
g7202 = 5506
g7202 = 16705
g7202 = 20037
g7202 = 5506
g7202 = 16705
g7202 = 20037
g7202 = 5506
g7202 = 16705
g7202 = 20037
g7202 = 5506
g7202 = 16705
g7202 = 20037
g7202 = 5506
g7202 = 16705
g7202 = 20037
g7202 = 5506
g7202 = 16705
g7202 = 20037
g7202 = 5506
g7202 = 16705
g7202 = 20037
g9409 = 16491
g9409 = 16491
g6271 = 981
g6271 = 6355
g6271 = 8270
g6271 = 981
g6271 = 6355
g6271 = 8270
g6271 = 981
g6271 = 6355
g6271 = 8270
g6271 = 981
g6271 = 6355
g6271 = 8270
g4637 = 5515
g4637 = 5515
g4637 = 5515
g4230 = 16491
g8050 = 10181
g8050 = 16491
g848 = 4333
g848 = 6106
g848 = 45239
g848 = 6099
g848 = 16829
g848 = 3824
g848 = 4333
g848 = 6106
g848 = 45239
g6697 = 5975
g6697 = 16857
g6697 = 5975
g6697 = 16857
g6697 = 3824
g605 = 287
g605 = 8897
g605 = 16746
g605 = 8897
g605 = 16746
g605 = 287
g605 = 8897
g605 = 287
g605 = 6633
g605 = 8897
g6585 = 981
g6585 = 6355
g6585 = 8270
g6585 = 981
g6585 = 6355
g6585 = 8270
g6585 = 981
g6585 = 6355
g6585 = 8270
g3980 = 16810
g3980 = 16787
g7825 = 5758
g7825 = 33617
g3151 = 4402
g3151 = 6355
g3151 = 16573
g3151 = 4402
g3151 = 6355
g3151 = 16573
g8184 = 46982
g8184 = 3712
g3555 = 46983
g3555 = 5515
g3555 = 5515
g2440 = 5506
g2440 = 16705
g2440 = 20037
g2440 = 4497
g2440 = 5506
g2440 = 16705
g2440 = 20037
g2440 = 4497
g2440 = 5506
g2440 = 16705
g2440 = 20037
g2440 = 4497
g2440 = 5506
g2440 = 16705
g2440 = 20037
g2440 = 4497
g2440 = 5506
g2440 = 16705
g2440 = 20037
g2440 = 5506
g2440 = 16705
g2440 = 20037
g2850 = 5524
g2850 = 5975
g2850 = 16773
g2850 = 1678
g2850 = 4396
g2850 = 5524
g2850 = 5536
g2850 = 5975
g2850 = 5524
g2850 = 5975
g2850 = 16773
g2850 = 1678
g2850 = 4396
g2850 = 5524
g2850 = 5536
g2850 = 5975
g7009 = 16846
g7009 = 16846
g6768 = 46034
g6768 = 1902600
g6768 = 15986
g6768 = 46034
g6768 = 1902600
g6768 = 15986
g6768 = 45261
g6768 = 46933
g6768 = 5524
g612 = 16491
g3129 = 5524
g3129 = 16887
g1604 = 30976
g1604 = 16831
g1604 = 3824
g1604 = 30976
g1604 = 287
g1604 = 30976
g4732 = 5515
g6781 = 22857
g6781 = 22857
g6781 = 55085
g8547 = 5737
g8547 = 16226
g8547 = 51536
g8547 = 5737
g8547 = 16226
g8547 = 51536
g4242 = 3735
g4242 = 5840
g4242 = 6412
g4242 = 3735
g4242 = 5840
g4242 = 6412
g4242 = 3735
g4242 = 5840
g4242 = 6412
g4242 = 3735
g4242 = 5840
g4242 = 6412
g4242 = 3735
g4242 = 5840
g4242 = 6412
g102 = 5507
g102 = 8131
g102 = 9308
g102 = 48038
g102 = 5507
g102 = 8131
g102 = 9308
g102 = 48038
g102 = 5507
g102 = 8131
g102 = 9308
g102 = 48038
g102 = 5507
g102 = 8131
g102 = 9308
g102 = 48038
g102 = 5507
g102 = 8131
g102 = 9308
g102 = 48038
g102 = 5507
g102 = 8131
g102 = 9308
g102 = 48038
g102 = 5507
g102 = 8131
g102 = 9308
g102 = 48038
g102 = 5507
g102 = 8131
g102 = 9308
g102 = 48038
g102 = 5507
g102 = 8131
g102 = 9308
g102 = 48038
g102 = 5507
g102 = 8131
g102 = 9308
g102 = 48038
g102 = 5507
g102 = 8131
g102 = 9308
g102 = 48038
g8711 = 3824
g2531 = 3676
g2531 = 5524
g2531 = 4386
g2531 = 4386
g7424 = 16491
g7424 = 16491
g7424 = 16491
g7424 = 16491
g7424 = 16491
g2169 = 6342
g2169 = 70824
g3651 = 5515
g3651 = 31267
g3651 = 6886
g3651 = 31267
g3651 = 6886
g3651 = 31267
g3651 = 6886
g3651 = 31267
g3651 = 6886
g3605 = 6351
g3605 = 46983
g3605 = 6351
g3605 = 46983
g4375 = 3700
g4375 = 6355
g4375 = 43565
g4375 = 3700
g4375 = 6355
g4375 = 43565
g4375 = 3700
g4375 = 6355
g4375 = 43565
g4375 = 3700
g4375 = 6355
g4375 = 43565
g4375 = 3700
g4375 = 6355
g4375 = 43565
g5207 = 22857
g5207 = 55085
g5207 = 22857
g7626 = 5506
g7626 = 16705
g7626 = 20037
g7626 = 5506
g7626 = 16705
g7626 = 20037
g7626 = 5506
g7626 = 16705
g7626 = 20037
g7626 = 5506
g7626 = 16705
g7626 = 20037
g7626 = 5506
g7626 = 16705
g7626 = 20037
g7626 = 5506
g7626 = 16705
g7626 = 20037
g7626 = 5506
g7626 = 16705
g7626 = 20037
g7626 = 5506
g7626 = 16705
g7626 = 20037
g7626 = 5506
g7626 = 16705
g7626 = 20037
g7626 = 5506
g7626 = 16705
g7626 = 20037
g7626 = 5506
g7626 = 16705
g7626 = 20037
g229 = 3824
g229 = 3864
g229 = 15940
g229 = 3864
g229 = 15940
g229 = 3864
g229 = 15940
g4833 = 981
g4833 = 6355
g4833 = 8270
g4833 = 981
g4833 = 6355
g4833 = 8270
g4833 = 981
g4833 = 6355
g4833 = 8270
g4833 = 981
g4833 = 6355
g4833 = 8270
g4833 = 3677
g4833 = 6351
g4833 = 8270
g217 = 8080
g217 = 8080
g7476 = 3677
g7476 = 6351
g7476 = 8270
g328 = 5515
g328 = 5515
g328 = 5515
g328 = 5515
g328 = 5515
g328 = 5515
g328 = 5515
g328 = 5515
g328 = 5515
g328 = 5515
g328 = 5515
g328 = 5515
g10029 = 123
g10029 = 16573
g10029 = 123
g10029 = 16573
g2689 = 5515
g2689 = 5515
g2689 = 5515
g5828 = 6457
g5828 = 16272
g5828 = 51082
g1177 = 16491
g1177 = 16491
g4870 = 5524
g4870 = 16887
g4870 = 5524
g4870 = 16887
g4870 = 5524
g4870 = 5777
g4870 = 7031
g4870 = 5524
g4870 = 5778
g4870 = 6625
g4870 = 16887
g8154 = 6672
g8154 = 16021
g8154 = 16811
g8154 = 6672
g8154 = 16021
g8154 = 16811
g3061 = 16491
g3061 = 16491
g3061 = 16491
g3061 = 16491
g3061 = 16491
g3061 = 16491
g5576 = 5515
g5576 = 5515
g5576 = 5515
g5576 = 5515
g5576 = 5515
g5576 = 5515
g5576 = 5515
g5576 = 5515
g5576 = 5515
g5576 = 5515
g5576 = 5515
g5576 = 5515
g3517 = 3735
g3517 = 5840
g3517 = 6412
g10141 = 16491
g10141 = 9013
g10141 = 9450
g10141 = 16491
g2002 = 6351
g3 = 16491
g3 = 16491
g3 = 10181
g3 = 16491
g3 = 5506
g3 = 16705
g3 = 20037
g3 = 5506
g3 = 16705
g3 = 20037
g3 = 5506
g3 = 16705
g3 = 20037
g3 = 5506
g3 = 16705
g3 = 20037
g3 = 5506
g3 = 16705
g3 = 20037
g3 = 5506
g3 = 16705
g3 = 20037
g3 = 5506
g3 = 16705
g3 = 20037
g3 = 5506
g3 = 16705
g3 = 20037
g3 = 5506
g3 = 16705
g3 = 20037
g3 = 5506
g3 = 16705
g3 = 20037
g3 = 5506
g3 = 16705
g3 = 20037
g3 = 5506
g3 = 16705
g3 = 20037
g3 = 10181
g3595 = 5515
g3595 = 5515
g8864 = 51920
g4338 = 3676
g4338 = 3676
g4338 = 3676
g4338 = 3676
g3928 = 981
g3928 = 6355
g3928 = 8270
g3928 = 981
g3928 = 6355
g3928 = 8270
g3928 = 3677
g3928 = 6351
g3928 = 8270
g3928 = 981
g3928 = 6355
g3928 = 8270
g3928 = 3677
g3928 = 6351
g3928 = 8270
g3928 = 981
g3928 = 6355
g3928 = 8270
g7420 = 981
g7420 = 6355
g7420 = 8270
g7420 = 981
g7420 = 6355
g7420 = 8270
g7420 = 981
g7420 = 6355
g7420 = 8270
g7420 = 981
g7420 = 6355
g7420 = 8270
g8827 = 4553
g8827 = 5975
g8827 = 4553
g8827 = 5975
g8827 = 4553
g8827 = 5975
g2256 = 8677
g2256 = 15940
g3906 = 16491
g3906 = 16491
g3906 = 16491
g3906 = 16491
g3906 = 16491
g3906 = 16491
g6359 = 5515
g6359 = 5515
g6359 = 5515
g6359 = 5515
g6359 = 5515
g6359 = 5515
g6359 = 5515
g6359 = 5515
g6359 = 5515
g6359 = 5515
g6359 = 5515
g6359 = 5515
g6359 = 5515
g6359 = 5515
g6359 = 5515
g6359 = 5515
g6359 = 5515
g6359 = 5515
g6359 = 5515
g6359 = 5515
g6359 = 5515
g6359 = 5515
g6359 = 5515
g6359 = 5515
g6359 = 5515
g6359 = 5515
g6359 = 6364
g6359 = 32040
g6359 = 5515
g6359 = 5515
g6359 = 5515
g8260 = 16491
g8260 = 16491
g8260 = 16491
g8260 = 16491
g8260 = 16491
g8260 = 16491
g8260 = 16491
g8260 = 16491
g5575 = 51225
g5575 = 70652
g9490 = 31204
g7904 = 62
g7904 = 62
g7904 = 62
g7904 = 62
g7904 = 62
g7904 = 62
g9284 = 902
g996 = 5515
g996 = 5515
g996 = 5515
g996 = 5515
g996 = 5515
g4789 = 5737
g4789 = 6914
g4789 = 5737
g4789 = 6914
g8852 = 4386
g8852 = 4386
g7175 = 15109
g7175 = 15703
g7175 = 15109
g7175 = 15703
g4512 = 981
g4512 = 6355
g4512 = 8270
g4512 = 981
g4512 = 6355
g4512 = 8270
g4512 = 981
g4512 = 6355
g4512 = 8270
g4512 = 981
g4512 = 6355
g4512 = 8270
g4512 = 3677
g4512 = 6351
g4512 = 8270
g4512 = 3677
g4512 = 6351
g4512 = 8270
g9208 = 5524
g9208 = 5524
g9208 = 46872
g4593.1 = 3677
g4593.1 = 3910
g4593.1 = 6281
g4593.1 = 6310
g4593.1 = 3910
g4593.1 = 5524
g4593.1 = 6281
g4593.1 = 6310
g4593.1 = 3910
g4593.1 = 5524
g4593.1 = 6281
g4593.1 = 6310
g4593.1 = 3910
g4593.1 = 5524
g4593.1 = 6281
g4593.1 = 6310
g4593.1 = 3910
g4593.1 = 5524
g4593.1 = 6281
g4593.1 = 6310
g4593.1 = 71897
g4593.1 = 3910
g4593.1 = 6281
g4593.1 = 6310
g4593.1 = 3677
g4593.1 = 3910
g4593.1 = 6281
g4593.1 = 6310
g6765 = 16020
g6765 = 16020
g6765 = 16020
g5741 = 70403
g8622 = 3677
g8622 = 6351
g8622 = 8270
g8622 = 3677
g8622 = 6351
g8622 = 8270
g3197 = 16020
g3197 = 16651
g3197 = 51539
g3197 = 16020
g3197 = 16651
g3197 = 51539
g7101 = 16020
g7101 = 22857
g7101 = 55085
g7101 = 16020
g7101 = 22857
g7101 = 55085
g7101 = 16020
g7101 = 22857
g7101 = 55085
g7101 = 16020
g7101 = 22857
g7101 = 55085
g7101 = 16020
g7101 = 22857
g7101 = 55085
g7101 = 22857
g7101 = 16021
g7101 = 22857
g7101 = 55085
g7101 = 16020
g7101 = 22857
g7101 = 55085
g9883 = 5759
g9883 = 5759
g4971 = 22857
g4971 = 55085
g4971 = 22857
g8251 = 8270
g8251 = 8270
g8251 = 5515
g8251 = 5515
g8251 = 5515
g8251 = 8270
g3526 = 3677
g3526 = 6351
g3526 = 8270
g3526 = 981
g3526 = 6355
g3526 = 8270
g3526 = 3677
g3526 = 6351
g3526 = 8270
g3526 = 981
g3526 = 6355
g3526 = 8270
g3526 = 981
g3526 = 6355
g3526 = 8270
g3526 = 981
g3526 = 6355
g3526 = 8270
g2423 = 6751
g2423 = 36374
g2423 = 6751
g2423 = 36374
g6387 = 5737
g6387 = 30163
g6387 = 36402
g6387 = 5524
g6387 = 16887
g8949 = 4601
g8949 = 6979
g8949 = 20037
g8949 = 4601
g8949 = 6979
g8949 = 20037
g8949 = 4601
g8949 = 6979
g8949 = 20037
g8949 = 4601
g8949 = 6979
g8949 = 20037
g8949 = 4601
g8949 = 6979
g8949 = 20037
g8949 = 4601
g8949 = 6979
g8949 = 20037
g8949 = 4601
g8949 = 6979
g8949 = 20037
g8949 = 4601
g8949 = 6979
g8949 = 20037
g8949 = 4601
g8949 = 6979
g8949 = 20037
g8949 = 4601
g8949 = 6979
g8949 = 20037
g8949 = 4601
g8949 = 6979
g8949 = 20037
g8949 = 4601
g8949 = 6979
g8949 = 20037
g8949 = 4601
g8949 = 6979
g8949 = 20037
g8949 = 4601
g8949 = 6979
g8949 = 20037
g1569.1 = 16787
g1569.1 = 6044
g1569.1 = 8448
g1569.1 = 16810
g1569.1 = 6044
g1569.1 = 8448
g9488 = 30145
g9488 = 70006
g9488 = 30145
g9488 = 70006
g7740 = 16021
g7740 = 22857
g7740 = 55085
g7740 = 22857
g4645 = 5515
g4645 = 5515
g4645 = 5515
g4645 = 5515
g4645 = 5515
g4645 = 48188
g4645 = 5515
g4645 = 5515
g4645 = 5515
g2006 = 16627
g2006 = 16627
g2006 = 16627
g2006 = 3997
g2006 = 5777
g2006 = 6635
g2006 = 16627
g10374 = 724
g10374 = 5524
g10374 = 6281
g10374 = 16887
g10374 = 30915
g9839 = 5975
g9839 = 16868
g9839 = 16868
g9839 = 71704
g9839 = 5975
g9839 = 16868
g9839 = 5975
g9839 = 16868
g9839 = 5975
g9839 = 16868
g9839 = 5975
g9839 = 16868
g9839 = 5975
g9839 = 16868
g9839 = 5975
g9839 = 16868
g9839 = 16868
g9839 = 71704
g9839 = 5975
g9839 = 5975
g9839 = 16868
g7165 = 4525
g7165 = 6396
g7165 = 4525
g7165 = 6396
g7165 = 4525
g7165 = 6396
g7165 = 4525
g7165 = 6396
g7004 = 22857
g7004 = 55085
g7004 = 22857
g9344 = 5524
g9344 = 5524
g9344 = 5524
g9344 = 5524
g3668 = 2098
g3668 = 33588
g3668 = 2098
g3668 = 33588
g2762 = 5515
g2762 = 5515
g2762 = 5515
g2762 = 5515
g2762 = 5515
g2762 = 5515
g2762 = 5515
g2762 = 5515
g2762 = 5515
g2762 = 5515
g2762 = 5515
g2762 = 5515
g2762 = 5515
g2762 = 5515
g2762 = 5515
g2762 = 5515
g2762 = 5515
g4087 = 3735
g4087 = 5840
g4087 = 6412
g4087 = 3735
g4087 = 5840
g4087 = 6412
g2053 = 3677
g2053 = 6351
g2053 = 8270
g2053 = 981
g2053 = 6355
g2053 = 8270
g2053 = 981
g2053 = 6355
g2053 = 8270
g2053 = 981
g2053 = 6355
g2053 = 8270
g2053 = 981
g2053 = 6355
g2053 = 8270
g2053 = 3677
g2053 = 6351
g2053 = 8270
g3254 = 6891
g3254 = 17119
g3254 = 6891
g3254 = 17119
g2810 = 22857
g2810 = 55085
g3643 = 4386
g3643 = 3676
g3643 = 5524
g3643 = 4386
g10517 = 16787
g10517 = 16787
g10517 = 16787
g6346.1 = 413
g6346.1 = 3755
g6346.1 = 413
g6346.1 = 3755
g6346.1 = 413
g6346.1 = 3755
g6346.1 = 413
g6346.1 = 3755
g6346.1 = 413
g6346.1 = 3755
g6346.1 = 413
g6346.1 = 3755
g6346.1 = 413
g6346.1 = 3755
g2218 = 4612
g2218 = 5524
g2218 = 6094
g2218 = 4611
g2218 = 6094
g2218 = 17076
g2218 = 4612
g2218 = 5524
g2218 = 6094
g2218 = 4612
g2218 = 5524
g2218 = 6094
g7984 = 6886
g7984 = 16192
g7984 = 30117
g7984 = 16192
g3267 = 3747
g3267 = 6415
g281 = 5515
g281 = 5515
g281 = 5515
g281 = 5515
g281 = 5515
g281 = 5515
g4254 = 16429
g4254 = 30488
g4254 = 31515
g4254 = 16429
g4254 = 30488
g4254 = 31515
g4254 = 16429
g4254 = 30488
g4254 = 31515
g901 = 16020
g2482 = 3677
g2482 = 3910
g2482 = 5524
g2482 = 6281
g2482 = 51103
g2482 = 3910
g2482 = 5524
g2482 = 6281
g2482 = 6310
g2482 = 71897
g2482 = 3910
g2482 = 3677
g2482 = 3910
g2482 = 6281
g2482 = 6310
g2482 = 3677
g2482 = 3910
g2482 = 6281
g2482 = 6310
g2482 = 3910
g2482 = 6281
